,手數,玩家,行為,進張,手牌,吃,碰,槓,messageA,messageB,messageC,messageD,Total_messageA,talkA,Total_messageB,talkB,Total_messageC,talkC,Total_messageD,talkD
216,2,2,摸,4C,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,
217,2,2,丟,6A,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,
218,3,1,吃,6A,0A 3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,
219,3,1,丟,0A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,
220,4,0,碰,0A,5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,
221,4,0,丟,5A,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,
222,5,3,摸,6B,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,
223,5,3,丟,2A,5A 7A 0B 0B 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,
224,6,2,摸,3B,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,
225,6,2,丟,0B,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,
226,7,3,碰,0B,5A 7A 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,9,,,,,,,,,,,,,
227,7,3,丟,3B,5A 7A 6B 8B 3C 6C 0E 0E 2E 3E ,,9,,,,,,,,,,,,,
228,8,2,摸,0D,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,
229,8,2,丟,3B,6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 0D 2D ,,,,,,,,,,,,,,,
230,9,1,摸,1A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,
231,9,1,丟,0E,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,
232,10,3,碰,0E,5A 7A 6B 8B 3C 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,
233,10,3,丟,3C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,
234,11,2,吃,3C,6B 7B 0C 0C 1C 1C 2C 5C 0D 0D 2D ,48,,,,,,,,,,,,,,
235,11,2,丟,5C,6B 7B 0C 0C 1C 1C 2C 0D 0D 2D ,48,,,,,,,,,,,,,,
